Year,Area,Item,Area harvested,Production,Yield
2019,Australia,"Groundnuts, excluding shelled",4908.0,10908.0,2222.5
2019,Australia,Hop cones,268.0,628.74,2347.2
2019,Australia,Kiwi fruit,173.0,2730.21,15825.1
2019,Australia,Lemons and limes,2297.0,54882.54,23888.0
2019,Australia,"Lentils, dry",400100.0,359315.0,898.1
2019,Australia,Lettuce and chicory,7777.0,133525.0,17169.2
2019,Australia,Linseed,7000.0,6000.0,857.1
2019,Australia,Lupins,661141.0,798629.0,1208.0
2019,Australia,Maize (corn),58949.0,327206.16,5550.7
2019,Australia,"Mangoes, guavas and mangosteens",13152.0,49594.0,3770.9
2019,Australia,Millet,35975.0,36885.71,1025.3
2019,Australia,Oats,938129.0,1134618.64,1209.4
2019,Australia,Olives,36314.0,86192.0,2373.5
2019,Australia,"Onions and shallots, dry (excluding dehydrated)",5333.0,290840.0,54535.9
2019,Australia,Oranges,17413.0,343028.0,19699.9
2019,Australia,"Other beans, green",8121.0,44092.0,5429.4
2019,Australia,Other berries and fruits of the genus vaccinium n.e.c.,2608.0,7912.56,3033.9
2019,Australia,"Other citrus fruit, n.e.c.",100.0,1109.21,11112.3
2019,Australia,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",23843.0,42289.0,1773.6
2019,Australia,"Other tropical fruits, n.e.c.",1247.0,7581.06,6080.8
2019,Australia,"Other vegetables, fresh n.e.c.",2414.0,77143.7,31962.1
2019,Australia,Papayas,786.0,14921.0,18971.6
2019,Australia,Peaches and nectarines,12614.0,86994.0,6896.6
2019,Australia,Pears,4654.0,80353.0,17263.8
2019,Australia,"Peas, dry",229512.0,159556.0,695.2
2019,Australia,"Peas, green",5255.0,22431.0,4268.5
2019,Australia,Persimmons,230.0,1927.78,8376.6
2019,Australia,Pineapples,2375.0,86201.0,36295.2
2019,Australia,"Pistachios, in shell",1454.0,1505.72,1035.9
2019,Australia,Plums and sloes,3214.0,19456.22,6052.7
2019,Australia,Pomelos and grapefruits,858.0,7504.28,8744.8
2019,Australia,Potatoes,32413.0,1225273.58,37802.2
2019,Australia,"Pumpkins, squash and gourds",3986.0,87012.0,21829.4
2019,Australia,Rape or colza seed,2119836.0,2365839.14,1116.0
2019,Australia,Raspberries,239.0,650.71,2727.8
2019,Australia,Rice,7620.0,66835.34,8771.0
2019,Australia,Rye,41494.0,29313.12,706.4
2019,Australia,Safflower seed,6289.0,3653.68,580.9
2019,Australia,"Seed cotton, unginned",303484.0,1150000.0,3789.3
2019,Australia,Sorghum,550279.0,1160479.02,2108.9
2019,Australia,Soya beans,13397.0,15136.0,1129.8
2019,Australia,Spinach,1341.0,8605.11,6415.0
2019,Australia,Strawberries,2656.0,68534.0,25803.5
2019,Australia,Sugar cane,395399.0,32415352.0,81981.4
2019,Australia,Sunflower seed,10970.0,9234.0,841.8
2019,Australia,Sweet potatoes,2112.0,82014.08,38824.9
2019,Australia,"Tangerines, mandarins, clementines",5766.0,135492.0,23499.5
2019,Australia,Tomatoes,4278.0,329188.0,76949.0
2019,Australia,Triticale,48402.0,59461.46,1228.5
2019,Australia,Vetches,36798.0,7880.5,214.2
2019,Australia,"Walnuts, in shell",6189.0,4496.56,726.6
2019,Australia,Watermelons,3926.0,169901.92,43271.7
2019,Australia,Wheat,10402271.0,17597560.79,1691.7
2019,Austria,Apples,6590.0,239210.0,36298.9
2019,Austria,Apricots,820.0,11510.0,14036.6
2019,Austria,Asparagus,830.0,3320.0,4000.0
2019,Austria,Barley,137240.0,828130.0,6034.2
2019,Austria,Blueberries,200.0,1350.0,6750.0
2019,Austria,"Broad beans and horse beans, dry",5710.0,13030.0,2282.0
2019,Austria,"Broad beans and horse beans, green",1110.0,7660.0,6900.9
2019,Austria,Cabbages,1220.0,60000.0,49180.3
2019,Austria,Carrots and turnips,1880.0,108180.0,57542.6
2019,Austria,Cauliflowers and broccoli,280.0,5760.0,20571.4
2019,Austria,Cereals n.e.c.,7720.0,22550.0,2921.0
2019,Austria,Cherries,280.0,7510.0,26821.4
2019,Austria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",160.0,14980.0,93625.0
2019,Austria,Cucumbers and gherkins,360.0,45270.0,125750.0
2019,Austria,Currants,320.0,4500.0,14062.5
2019,Austria,Eggplants (aubergines),10.0,1170.0,117000.0
2019,Austria,Grapes,46360.0,309920.0,6685.1
2019,Austria,Green garlic,210.0,1210.0,5761.9
2019,Austria,Hop cones,250.0,520.0,2080.0
2019,Austria,Leeks and other alliaceous vegetables,160.0,6530.0,40812.5
2019,Austria,Lettuce and chicory,1370.0,41290.0,30138.7
2019,Austria,Linseed,1420.0,1710.0,1204.2
2019,Austria,Lupins,230.0,360.0,1565.2
2019,Austria,Maize (corn),220690.0,2298880.0,10416.8
2019,Austria,Mixed grain,4370.0,19770.0,4524.0
2019,Austria,Oats,20600.0,77350.0,3754.9
2019,Austria,"Onions and shallots, dry (excluding dehydrated)",3510.0,141650.0,40356.1
2019,Austria,"Other beans, green",1110.0,7660.0,6900.9
